fecha,cod_ine,CCAA,total
2020-03-16,01,Andalucía,0
2020-03-17,01,Andalucía,0
2020-03-18,01,Andalucía,38
2020-03-19,01,Andalucía,33
2020-03-20,01,Andalucía,72
2020-03-21,01,Andalucía,72
2020-03-22,01,Andalucía,38
2020-03-23,01,Andalucía,50
2020-03-24,01,Andalucía,66
2020-03-25,01,Andalucía,71
2020-03-26,01,Andalucía,77
2020-03-27,01,Andalucía,92
2020-03-28,01,Andalucía,139
2020-03-29,01,Andalucía,148
2020-03-30,01,Andalucía,155
2020-03-31,01,Andalucía,160
2020-04-01,01,Andalucía,182
2020-04-02,01,Andalucía,228
2020-04-03,01,Andalucía,258
2020-04-04,01,Andalucía,463
2020-04-05,01,Andalucía,665
2020-04-06,01,Andalucía,798
2020-04-07,01,Andalucía,900
2020-04-08,01,Andalucía,1041
2020-04-09,01,Andalucía,1193
2020-04-10,01,Andalucía,1437
2020-04-11,01,Andalucía,1630
2020-04-12,01,Andalucía,1838
2020-03-16,02,Aragón,0
2020-03-17,02,Aragón,0
2020-03-18,02,Aragón,0
2020-03-19,02,Aragón,0
2020-03-20,02,Aragón,0
2020-03-21,02,Aragón,0
2020-03-22,02,Aragón,3
2020-03-23,02,Aragón,3
2020-03-24,02,Aragón,3
2020-03-25,02,Aragón,4
2020-03-26,02,Aragón,4
2020-03-27,02,Aragón,8
2020-03-28,02,Aragón,8
2020-03-29,02,Aragón,8
2020-03-30,02,Aragón,174
2020-03-31,02,Aragón,204
2020-04-01,02,Aragón,257
2020-04-02,02,Aragón,320
2020-04-03,02,Aragón,378
2020-04-04,02,Aragón,440
2020-04-05,02,Aragón,537
2020-04-06,02,Aragón,565
2020-04-07,02,Aragón,578
2020-04-08,02,Aragón,659
2020-04-09,02,Aragón,718
2020-04-10,02,Aragón,797
2020-04-11,02,Aragón,888
2020-04-12,02,Aragón,934
2020-03-16,03,Asturias,3
2020-03-17,03,Asturias,3
2020-03-18,03,Asturias,4
2020-03-19,03,Asturias,4
2020-03-20,03,Asturias,12
2020-03-21,03,Asturias,16
2020-03-22,03,Asturias,20
2020-03-23,03,Asturias,21
2020-03-24,03,Asturias,30
2020-03-25,03,Asturias,35
2020-03-26,03,Asturias,40
2020-03-27,03,Asturias,52
2020-03-28,03,Asturias,65
2020-03-29,03,Asturias,76
2020-03-30,03,Asturias,78
2020-03-31,03,Asturias,90
2020-04-01,03,Asturias,109
