fecha,cod_ine,CCAA,total
2020-02-21,01,Andalucía,
2020-02-22,01,Andalucía,
2020-02-23,01,Andalucía,
2020-02-24,01,Andalucía,
2020-02-25,01,Andalucía,
2020-02-26,01,Andalucía,
2020-02-27,01,Andalucía,
2020-02-28,01,Andalucía,
2020-02-29,01,Andalucía,
2020-03-01,01,Andalucía,
2020-03-02,01,Andalucía,
2020-03-03,01,Andalucía,
2020-03-04,01,Andalucía,
2020-03-05,01,Andalucía,
2020-03-06,01,Andalucía,
2020-03-07,01,Andalucía,
2020-03-08,01,Andalucía,
2020-03-09,01,Andalucía,
2020-03-10,01,Andalucía,
2020-03-11,01,Andalucía,32
2020-03-12,01,Andalucía,50
2020-03-13,01,Andalucía,92
2020-03-14,01,Andalucía,92
2020-03-15,01,Andalucía,92
2020-03-16,01,Andalucía,197
2020-03-17,01,Andalucía,229
2020-03-18,01,Andalucía,319
2020-03-19,01,Andalucía,384
2020-03-20,01,Andalucía,501
2020-03-21,01,Andalucía,605
2020-03-22,01,Andalucía,724
2020-03-23,01,Andalucía,865
2020-03-24,01,Andalucía,1132
2020-03-25,01,Andalucía,1433
2020-03-26,01,Andalucía,1626
2020-03-27,01,Andalucía,1843
2020-03-28,01,Andalucía,2106
2020-03-29,01,Andalucía,2294
2020-03-30,01,Andalucía,2671
2020-03-31,01,Andalucía,2867
2020-04-01,01,Andalucía,3147
2020-04-02,01,Andalucía,3444
2020-04-03,01,Andalucía,3673
2020-04-04,01,Andalucía,3896
2020-04-05,01,Andalucía,4107
2020-04-06,01,Andalucía,4227
2020-04-07,01,Andalucía,4335
2020-04-08,01,Andalucía,4463
2020-04-09,01,Andalucía,4599
2020-04-10,01,Andalucía,4715
2020-04-11,01,Andalucía,4808
2020-04-12,01,Andalucía,4950
2020-04-13,01,Andalucía,4993
2020-04-14,01,Andalucía,5054
2020-04-15,01,Andalucía,5147
2020-04-16,01,Andalucía,5226
2020-04-17,01,Andalucía,5298
2020-04-18,01,Andalucía,5341
2020-04-19,01,Andalucía,5424
2020-04-20,01,Andalucía,5473
2020-04-21,01,Andalucía,5509
2020-04-22,01,Andalucía,5565
2020-04-23,01,Andalucía,5616
2020-04-24,01,Andalucía,5675
2020-04-25,01,Andalucía,5715
2020-04-26,01,Andalucía,5747
2020-04-27,01,Andalucía,5767
2020-04-28,01,Andalucía,5792
2020-04-29,01,Andalucía,5831
2020-04-30,01,Andalucía,5873
2020-05-01,01,Andalucía,5935
2020-05-02,01,Andalucía,5961
2020-05-03,01,Andalucía,5961
2020-05-04,01,Andalucía,5973
2020-05-05,01,Andalucía,5983
2020-05-06,01,Andalucía,6012
2020-05-07,01,Andalucía,6027
2020-05-08,01,Andalucía,6038
2020-02-21,02,Aragón,
2020-02-22,02,Aragón,
2020-02-23,02,Aragón,
2020-02-24,02,Aragón,
2020-02-25,02,Aragón,
2020-02-26,02,Aragón,
2020-02-27,02,Aragón,
2020-02-28,02,Aragón,
2020-02-29,02,Aragón,
2020-03-01,02,Aragón,
2020-03-02,02,Aragón,
2020-03-03,02,Aragón,
2020-03-04,02,Aragón,
2020-03-05,02,Aragón,
2020-03-06,02,Aragón,
2020-03-07,02,Aragón,
2020-03-08,02,Aragón,
2020-03-09,02,Aragón,
