fecha,cod_ine,ccaa,ia14d
2020-06-21,01,Andalucía,1.07
2020-06-21,02,Aragón,10.69
2020-06-21,03,Asturias,0.68
2020-06-21,04,Baleares,3.83
2020-06-21,05,Canarias,2.09
2020-06-21,06,Cantabria,3.96
2020-06-21,08,Castilla La Mancha,12.99
2020-06-21,07,Castilla y León,12.13
2020-06-21,09,Cataluña,16.19
2020-06-21,18,Ceuta,0.00
2020-06-21,10,C. Valenciana,2.84
2020-06-21,11,Extremadura,2.72
2020-06-21,12,Galicia,1.04
2020-06-21,13,Madrid,18.08
2020-06-21,19,Melilla,2.31
2020-06-21,14,Murcia,1.67
2020-06-21,15,Navarra,8.10
2020-06-21,16,País Vasco,7.11
2020-06-21,17,La Rioja,3.79
2020-06-21,00,España,8.08
2020-06-22,01,Andalucía,1.13
2020-06-22,02,Aragón,12.81
2020-06-22,03,Asturias,0.49
2020-06-22,04,Baleares,4.52
2020-06-22,05,Canarias,2.04
2020-06-22,06,Cantabria,3.61
2020-06-22,08,Castilla La Mancha,13.53
2020-06-22,07,Castilla y León,12.34
2020-06-22,09,Cataluña,16.55
2020-06-22,18,Ceuta,0.00
2020-06-22,10,C. Valenciana,2.74
2020-06-22,11,Extremadura,3.09
2020-06-22,12,Galicia,1.00
2020-06-22,13,Madrid,18.13
2020-06-22,19,Melilla,5.78
2020-06-22,14,Murcia,2.14
2020-06-22,15,Navarra,10.39
2020-06-22,16,País Vasco,7.07
2020-06-22,17,La Rioja,3.47
2020-06-22,00,España,8.30
2020-06-23,01,Andalucía,1.11
2020-06-23,02,Aragón,15.84
2020-06-23,03,Asturias,0.39
2020-06-23,04,Baleares,4.35
2020-06-23,05,Canarias,2.04
2020-06-23,06,Cantabria,3.44
2020-06-23,08,Castilla La Mancha,11.71
2020-06-23,07,Castilla y León,11.42
2020-06-23,09,Cataluña,15.93
2020-06-23,18,Ceuta,0.00
2020-06-23,10,C. Valenciana,2.84
2020-06-23,11,Extremadura,3.09
2020-06-23,12,Galicia,0.93
2020-06-23,13,Madrid,17.75
2020-06-23,19,Melilla,4.62
2020-06-23,14,Murcia,1.87
2020-06-23,15,Navarra,12.23
2020-06-23,16,País Vasco,6.79
2020-06-23,17,La Rioja,3.47
2020-06-23,00,España,8.10
2020-06-24,01,Andalucía,1.26
2020-06-24,02,Aragón,18.42
2020-06-24,03,Asturias,0.39
2020-06-24,04,Baleares,4.35
2020-06-24,05,Canarias,2.32
2020-06-24,06,Cantabria,4.65
2020-06-24,08,Castilla La Mancha,9.79
2020-06-24,07,Castilla y León,11.42
2020-06-24,09,Cataluña,15.35
2020-06-24,18,Ceuta,1.18
2020-06-24,10,C. Valenciana,2.62
2020-06-24,11,Extremadura,3.28
2020-06-24,12,Galicia,0.89
2020-06-24,13,Madrid,16.99
2020-06-24,19,Melilla,4.62
2020-06-24,14,Murcia,1.87
2020-06-24,15,Navarra,13.15
2020-06-24,16,País Vasco,6.75
2020-06-24,17,La Rioja,3.16
2020-06-24,00,España,7.93
2020-06-25,01,Andalucía,1.66
2020-06-25,02,Aragón,21.83
2020-06-25,03,Asturias,0.39
2020-06-25,04,Baleares,4.18
2020-06-25,05,Canarias,2.32
2020-06-25,06,Cantabria,4.13
2020-06-25,08,Castilla La Mancha,8.17
2020-06-25,07,Castilla y León,11.04
2020-06-25,09,Cataluña,14.11
2020-06-25,18,Ceuta,0.00
2020-06-25,10,C. Valenciana,2.50
2020-06-25,11,Extremadura,3.37
2020-06-25,12,Galicia,1.15
2020-06-25,13,Madrid,16.72
2020-06-25,19,Melilla,4.62
2020-06-25,14,Murcia,1.94
2020-06-25,15,Navarra,12.53
2020-06-25,16,País Vasco,6.39
2020-06-25,17,La Rioja,3.47
2020-06-25,00,España,7.74
2020-06-26,01,Andalucía,1.90
2020-06-26,02,Aragón,27.51
2020-06-26,03,Asturias,0.00
2020-06-26,04,Baleares,3.91
2020-06-26,05,Canarias,2.41
2020-06-26,06,Cantabria,3.61
2020-06-26,08,Castilla La Mancha,8.31
2020-06-26,07,Castilla y León,10.88
2020-06-26,09,Cataluña,14.19
2020-06-26,18,Ceuta,0.00
2020-06-26,10,C. Valenciana,2.24
2020-06-26,11,Extremadura,3.75
2020-06-26,12,Galicia,1.33
2020-06-26,13,Madrid,15.73
2020-06-26,19,Melilla,4.62
2020-06-26,14,Murcia,1.94
2020-06-26,15,Navarra,14.37
2020-06-26,16,País Vasco,6.34
2020-06-26,17,La Rioja,3.16
2020-06-26,00,España,7.81
2020-06-27,01,Andalucía,2.34
2020-06-27,02,Aragón,29.33
2020-06-27,03,Asturias,0.00
2020-06-27,04,Baleares,3.83
2020-06-27,05,Canarias,2.28
2020-06-27,06,Cantabria,3.27
2020-06-27,08,Castilla La Mancha,10.28
2020-06-27,07,Castilla y León,10.88
2020-06-27,09,Cataluña,14.07
2020-06-27,18,Ceuta,0.00
2020-06-27,10,C. Valenciana,2.24
2020-06-27,11,Extremadura,3.75
2020-06-27,12,Galicia,1.52
