Fecha publicación,CCAA,Vacunados ≥80 años,% ≥80 años,Vacunados 70-79 años,% 70-79 años,Vacunados 60-69 años,% 60-69 años,Vacunados 50-59 años,% 50-59 años,Vacunados 40-49 años,% 40-49 años,Vacunados 30-39 años,% 30-39 años,Vacunados 20-29 años,% 20-29 años,Vacunados 12-19 años,% 12-19 años,Vacunados total,Población total a vacunar,% total vacunada,Vacunados 25-39 años,% 25-39 años,Vacunados 18-24 años,% 18-24 años,Vacunados 16-17 años,% 16-17 años
2021-03-31,Andalucía,240.454,"58,1",12.788,2,41.807,"4,6",70.600,"5,6",,,,,,,,,507.430,7.062.213,"7,2",130.009,"4,3",11.689,"1,9",83,0
2021-03-31,Aragón,40.245,"40,7",3.048,"2,6",9.273,"5,9",13.854,7,,,,,,,,,89.278,1.132.764,"7,9",21.412,"4,8",1.421,"1,6",25,"0,1"
2021-03-31,Asturias,37.353,"42,5",3.490,"3,2",9.709,"6,5",13.411,"8,2",,,,,,,,,87.093,901.209,"9,7",20.796,"6,5",2.310,"4,3",24,"0,2"
2021-03-31,Baleares,12.403,25,2.088,"2,6",4.856,"4,1",7.551,"4,6",,,,,,,,,45.509,986.279,"4,6",17.352,"3,7",1.229,"1,4",30,"0,1"
2021-03-31,Canarias,31.183,"34,6",11.216,"7,3",9.016,"3,8",16.806,"4,8",,,,,,,,,104.712,1.871.033,"5,6",34.123,"4,1",2.349,"1,4",19,0
2021-03-31,Cantabria,22.177,54,1.660,"3,1",3.704,"4,8",5.521,"6,1",,,,,,,,,44.056,501.384,"8,8",10.397,"5,4",594,"1,7",3,0
2021-03-31,Castilla y León,96.294,"43,1",8.627,"3,5",19.766,"6,2",29.602,"7,8",,,,,,,,,198.064,2.092.873,"9,5",41.137,"5,6",2.562,"1,8",76,"0,2"
2021-03-31,Castilla La Mancha,46.971,"34,7",5.152,"3,2",12.955,"5,9",21.394,7,,,,,,,,,122.854,1.719.964,"7,1",33.077,"4,7",3.231,"2,2",74,"0,2"
2021-03-31,Cataluña,145.808,"32,6",24.886,"3,9",45.494,"5,4",64.998,6,,,,,,,,,421.043,6.531.658,"6,4",124.126,"4,4",15.543,"2,8",188,"0,1"
2021-03-31,C. Valenciana,114.569,"41,4",9.437,"2,2",22.540,"3,9",32.935,"4,4",,,,,,,,,251.514,4.269.305,"5,9",66.891,"3,8",5.059,"1,4",83,"0,1"
2021-03-31,Extremadura,32.370,"42,6",2.950,"3,2",7.139,"5,7",12.180,"7,2",,,,,,,,,74.629,911.213,"8,2",19.080,"5,4",876,"1,2",34,"0,2"
2021-03-31,Galicia,72.998,"31,2",3.853,"1,3",15.775,"4,5",22.833,"5,6",,,,,,,,,154.528,2.362.643,"6,5",37.642,"4,2",1.424,"0,9",3,0
2021-03-31,La Rioja,9.716,"43,8",651,"2,3",2.307,"6,1",3.284,"6,9",,,,,,,,,20.966,270.788,"7,7",4.639,"4,3",367,"1,7",2,0
2021-03-31,Madrid,153.495,"42,2",7.232,"1,4",28.868,"4,1",49.567,"5,1",,,,,,,,,359.895,5.695.623,"6,3",108.004,"4,3",12.694,"2,6",35,0
2021-03-31,Murcia,32.677,"46,8",2.214,"2,2",7.346,5,13.654,"6,4",,,,,,,,,85.655,1.237.479,"6,9",27.191,"4,9",2.479,"2,1",94,"0,3"
