Fecha,cod_ine,provincia,Casos,Fallecidos,Hospitalizados,UCI
2020-01-01,00,No consta,0,0,0,0
2020-01-01,01,Araba/Álava,0,0,0,0
2020-01-01,02,Albacete,0,0,0,0
2020-01-01,03,Alicante/Alacant,0,0,0,0
2020-01-01,04,Almería,0,0,0,0
2020-01-01,05,Ávila,0,0,0,0
2020-01-01,06,Badajoz,0,0,0,0
2020-01-01,07,Balears,0,0,0,0
2020-01-01,08,Barcelona,1,0,0,0
2020-01-01,09,Burgos,0,0,0,0
2020-01-01,10,Cáceres,0,0,0,0
2020-01-01,11,Cádiz,0,0,0,0
2020-01-01,12,Castellón/Castelló,0,0,1,0
2020-01-01,13,Ciudad Real,0,0,0,0
2020-01-01,14,Córdoba,0,0,1,0
2020-01-01,15,A Coruña,0,0,0,0
2020-01-01,16,Cuenca,0,0,0,0
2020-01-01,17,Girona,0,0,1,0
2020-01-01,18,Granada,0,0,0,0
2020-01-01,19,Guadalajara,0,0,0,0
2020-01-01,20,Gipuzkoa,0,0,0,0
2020-01-01,21,Huelva,0,0,0,0
2020-01-01,22,Huesca,0,0,0,0
2020-01-01,23,Jaén,0,0,1,0
2020-01-01,24,León,0,0,0,0
2020-01-01,25,Lleida,0,0,0,0
2020-01-01,26,La Rioja,0,0,0,0
2020-01-01,27,Lugo,0,0,1,0
2020-01-01,28,Madrid,0,0,1,0
2020-01-01,29,Málaga,0,0,0,0
2020-01-01,30,Murcia,1,0,0,0
2020-01-01,31,Navarra,0,0,0,0
2020-01-01,32,Ourense,0,0,0,0
2020-01-01,33,Asturias,0,0,0,0
2020-01-01,34,Palencia,0,0,0,0
2020-01-01,35,Las Palmas,0,0,0,0
2020-01-01,36,Pontevedra,0,0,0,0
2020-01-01,37,Salamanca,0,0,0,0
2020-01-01,38,Santa Cruz de Tenerife,0,0,0,0
2020-01-01,39,Cantabria,0,0,0,0
2020-01-01,40,Segovia,0,0,0,0
2020-01-01,41,Sevilla,0,0,1,0
2020-01-01,42,Soria,0,0,0,0
2020-01-01,43,Tarragona,0,0,0,0
2020-01-01,44,Teruel,0,0,0,0
2020-01-01,45,Toledo,0,0,0,0
2020-01-01,46,Valencia/València,0,0,1,0
2020-01-01,47,Valladolid,0,0,0,0
2020-01-01,48,Bizkaia,0,0,0,0
2020-01-01,49,Zamora,0,0,0,0
2020-01-01,50,Zaragoza,0,0,0,0
2020-01-01,51,Ceuta,0,0,0,0
2020-01-01,52,Melilla,0,0,0,0
2020-01-02,00,No consta,0,0,0,0
2020-01-02,01,Araba/Álava,0,0,0,0
2020-01-02,02,Albacete,0,0,0,0
2020-01-02,03,Alicante/Alacant,0,0,1,0
2020-01-02,04,Almería,0,0,1,0
2020-01-02,05,Ávila,0,0,0,0
2020-01-02,06,Badajoz,0,0,0,0
2020-01-02,07,Balears,0,0,0,0
2020-01-02,08,Barcelona,0,0,1,0
2020-01-02,09,Burgos,0,0,0,0
2020-01-02,10,Cáceres,0,0,0,0
2020-01-02,11,Cádiz,0,0,0,0
2020-01-02,12,Castellón/Castelló,0,0,0,0
2020-01-02,13,Ciudad Real,0,0,0,0
2020-01-02,14,Córdoba,0,0,0,0
2020-01-02,15,A Coruña,0,0,0,0
2020-01-02,16,Cuenca,0,0,0,0
2020-01-02,17,Girona,0,0,0,0
2020-01-02,18,Granada,0,0,0,0
2020-01-02,19,Guadalajara,0,0,0,0
2020-01-02,20,Gipuzkoa,0,0,0,0
2020-01-02,21,Huelva,0,0,0,0
2020-01-02,22,Huesca,0,0,0,0
2020-01-02,23,Jaén,0,0,0,0
2020-01-02,24,León,0,0,0,0
2020-01-02,25,Lleida,0,0,0,0
2020-01-02,26,La Rioja,0,0,0,0
2020-01-02,27,Lugo,0,0,0,0
2020-01-02,28,Madrid,0,0,4,1
2020-01-02,29,Málaga,0,0,1,0
2020-01-02,30,Murcia,1,0,0,0
2020-01-02,31,Navarra,0,0,0,0
2020-01-02,32,Ourense,0,0,0,0
2020-01-02,33,Asturias,0,0,0,0
2020-01-02,34,Palencia,0,0,0,0
2020-01-02,35,Las Palmas,0,0,0,0
2020-01-02,36,Pontevedra,0,0,0,0
2020-01-02,37,Salamanca,0,0,0,0
2020-01-02,38,Santa Cruz de Tenerife,0,0,0,0
2020-01-02,39,Cantabria,0,0,0,0
2020-01-02,40,Segovia,0,0,0,0
2020-01-02,41,Sevilla,0,0,3,0
2020-01-02,42,Soria,0,0,0,0
2020-01-02,43,Tarragona,0,0,50,0
2020-01-02,44,Teruel,0,0,0,0
2020-01-02,45,Toledo,0,0,0,0
2020-01-02,46,Valencia/València,0,0,2,0
2020-01-02,47,Valladolid,0,0,0,0
2020-01-02,48,Bizkaia,0,0,0,0
2020-01-02,49,Zamora,0,0,0,0
2020-01-02,50,Zaragoza,0,0,0,0
2020-01-02,51,Ceuta,0,0,0,0
2020-01-02,52,Melilla,0,0,0,0
2020-01-03,00,No consta,0,0,1,0
2020-01-03,01,Araba/Álava,0,0,0,0
2020-01-03,02,Albacete,0,0,0,0
