fecha,ccaa,<11 años,12-19 años,20-29 años,30-39 años,40-49 años,50-59 años,60-69 años,70-79 años,>80 años
2021-06-29,Andalucía,"132,35","286,76","346,30","232,50","183,38","77,07","68,22","30,44","35,55"
2021-06-29,Aragón,"69,32","169,72","128,83","80,35","89,79","36,31","34,53","4,20","14,17"
2021-06-29,Asturias,"60,10","203,13","270,51","114,46","75,45","38,12","31,41","5,49","12,52"
2021-06-29,Baleares,"40,24","246,12","176,89","102,09","53,35","30,76","31,56","11,18","12,11"
2021-06-29,Canarias,"118,51","140,71","210,53","186,21","113,42","60,48","53,60","30,41","29,92"
2021-06-29,Cantabria,"110,59","539,09","637,56","202,91","141,15","86,70","55,60","13,19","38,98"
2021-06-29,Castilla La Mancha,"55,83","94,27","83,91","68,45","60,50","32,52","35,71","11,31","14,05"
2021-06-29,Castilla y León,"75,46","195,96","181,51","87,38","65,78","45,39","25,11","13,85","22,80"
2021-06-29,Cataluña,"79,05","351,44","404,32","190,69","119,84","61,83","60,65","25,50","29,96"
2021-06-29,Ceuta,"7,55","10,96","27,35","42,04","7,91","17,31","0,00","23,16","0,00"
2021-06-29,C. Valenciana,"49,57","198,10","244,32","98,50","73,51","40,14","28,41","15,99","14,10"
2021-06-29,Extremadura,"77,79","202,95","145,61","106,38","78,37","31,32","43,90","7,62","19,74"
2021-06-29,Galicia,"58,22","144,99","122,09","85,03","61,82","27,84","19,02","10,70","11,52"
2021-06-29,Madrid,"50,75","237,56","160,95","101,30","79,16","44,72","35,69","12,93","18,95"
2021-06-29,Melilla,"30,96","376,02","91,70","74,18","16,66","35,40","25,55","0,00","42,57"
2021-06-29,Murcia,"42,26","114,87","114,95","77,99","51,54","27,20","23,82","6,80","10,03"
2021-06-29,Navarra,"88,92","191,53","217,24","136,46","91,66","47,57","27,08","10,75","12,15"
2021-06-29,País Vasco,"107,79","308,41","173,67","126,66","97,48","56,18","31,42","13,61","24,69"
2021-06-29,La Rioja,"83,46","258,50","489,20","132,25","113,32","98,61","45,07","7,11","31,52"
2021-06-29,España,"79,72","243,42","251,06","143,14","103,37","51,88","43,04","17,85","22,37"
2021-06-30,Andalucía,"127,61","300,70","347,81","232,94","175,44","74,54","68,66","30,14","35,55"
2021-06-30,Aragón,"69,32","179,42","143,40","87,04","91,19","36,31","35,81","4,20","13,16"
2021-06-30,Asturias,"63,64","248,44","328,65","128,44","74,25","36,89","34,08","6,41","10,25"
2021-06-30,Baleares,"41,70","348,76","195,01","115,27","61,60","33,78","40,94","11,18","16,15"
2021-06-30,Canarias,"121,76","155,18","222,05","191,68","117,03","61,62","58,70","33,00","32,14"
2021-06-30,Cantabria,"117,39","573,21","726,66","222,78","147,29","86,70","56,89","13,19","36,55"
2021-06-30,Castilla La Mancha,"55,41","101,74","87,12","68,82","58,68","31,22","35,25","11,94","17,75"
2021-06-30,Castilla y León,"72,71","315,10","257,81","94,11","66,34","44,34","25,11","14,67","23,70"
2021-06-30,Cataluña,"82,66","469,85","554,87","232,52","132,83","65,03","65,07","25,34","30,19"
2021-06-30,Ceuta,"0,00","10,96","27,35","50,45","7,91","17,31","0,00","23,16","0,00"
2021-06-30,C. Valenciana,"58,18","237,67","287,91","112,98","84,78","45,99","31,51","19,18","18,44"
2021-06-30,Extremadura,"72,37","254,87","173,84","109,38","75,86","30,73","43,90","7,62","14,47"
2021-06-30,Galicia,"61,86","154,99","129,01","92,76","64,75","28,33","18,74","11,39","12,80"
2021-06-30,Madrid,"49,88","263,21","177,38","100,25","79,33","44,61","34,41","12,17","19,77"
2021-06-30,Melilla,"37,15","438,69","100,04","82,42","16,66","35,40","25,55","0,00","42,57"
2021-06-30,Murcia,"43,26","126,86","122,50","75,60","54,30","25,79","26,55","6,80","10,03"
2021-06-30,Navarra,"86,42","196,85","227,52","140,15","87,96","43,44","29,79","8,96","12,15"
2021-06-30,País Vasco,"105,26","341,62","210,39","134,72","100,24","56,47","31,06","14,08","24,06"
2021-06-30,La Rioja,"77,90","270,25","459,65","142,42","107,65","86,02","50,37","7,11","27,02"
2021-06-30,España,"80,30","287,84","293,33","154,07","106,06","52,37","44,63","18,28","23,08"ç
2021-07-01,Andalucía,"128,40","327,26","358,25","236,01","172,91","71,54","70,84","30,90","36,27"
2021-07-01,Aragón,"63,08","204,64","174,08","88,87","93,05","36,31","31,98","8,41","17,21"
2021-07-01,Asturias,"63,64","309,38","404,49","138,92","77,85","41,19","37,42","8,24","11,39"
2021-07-01,Baleares,"47,56","453,50","237,78","126,24","70,81","36,79","45,21","11,18","18,17"
2021-07-01,Canarias,"132,91","188,55","244,29","204,87","123,99","64,76","62,95","31,06","28,81"
2021-07-01,Cantabria,"122,49","623,25","853,38","249,74","160,58","98,93","62,06","16,96","36,55"
2021-07-01,Castilla La Mancha,"47,37","120,71","94,00","69,57","56,56","33,17","37,08","12,57","19,97"
2021-07-01,Castilla y León,"75,46","441,51","397,62","106,80","72,12","50,11","27,62","15,48","24,14"
2021-07-01,Cataluña,"94,83","616,92","804,11","297,80","153,64","74,01","73,31","26,60","36,45"
2021-07-01,Ceuta,"0,00","21,92","18,24","50,45","7,91","17,31","0,00","23,16","0,00"
2021-07-01,C. Valenciana,"68,91","294,68","371,03","136,57","100,28","57,55","37,19","22,61","24,59"
2021-07-01,Extremadura,"71,46","300,88","228,56","117,62","75,24","32,50","46,29","8,71","14,47"
2021-07-01,Galicia,"65,91","198,33","153,26","97,40","66,11","28,58","19,02","11,39","12,38"
2021-07-01,Madrid,"47,88","287,24","199,33","111,41","81,73","44,10","32,84","12,36","17,85"
2021-07-01,Melilla,"37,15","438,69","91,70","82,42","16,66","35,40","38,33","0,00","42,57"
2021-07-01,Murcia,"42,76","136,02","134,11","73,20","52,72","23,91","25,19","6,80","11,47"
2021-07-01,Navarra,"90,18","219,90","248,07","134,00","87,04","41,37","29,79","7,17","9,72"
2021-07-01,País Vasco,"103,99","376,62","264,97","137,02","101,90","56,47","32,84","13,61","25,96"
2021-07-01,La Rioja,"86,25","274,17","462,93","139,88","107,65","77,63","45,07","7,11","27,02"
2021-07-01,España,"83,83","345,26","366,74","172,17","112,24","55,18","47,39","19,22","24,84"
