Fecha publicación,CCAA,Vacunados ≥80 años,% ≥80 años,Vacunados 70-79 años,% 70-79 años,Vacunados 60-69 años,% 60-69 años,Vacunados 50-59 años,% 50-59 años,Vacunados 40-49 años,% 40-49 años,Vacunados 30-39 años,% 30-39 años,Vacunados 20-29 años,% 20-29 años,Vacunados 12-19 años,% 12-19 años,Vacunados total,Población total a vacunar,% total vacunada,Vacunados 25-39 años,% 25-39 años,Vacunados 18-24 años,% 18-24 años,Vacunados 16-17 años,% 16-17 años
2021-03-31,Andalucía,375.382,"90,8",21.914,"3,4",60.757,"6,6",133.942,"10,6",,,,,,,,,933.984,7.062.213,"13,2",316.861,"10,5",24.984,4,144,"0,1"
2021-03-31,Aragón,71.256,"72,1",3.553,3,11.417,"7,3",22.612,"11,4",,,,,,,,,161.061,1.132.764,"14,2",46.702,"10,5",5.493,"6,2",28,"0,1"
2021-03-31,Asturias,67.037,"76,3",4.258,"3,9",15.803,"10,6",19.259,"11,8",,,,,,,,,138.822,901.209,"15,4",29.619,"9,2",2.816,"5,2",30,"0,2"
2021-03-31,Baleares,33.141,"66,9",2.346,"2,9",15.295,13,19.592,"11,8",,,,,,,,,115.375,986.279,"11,7",41.453,"8,9",3.517,"4,1",31,"0,1"
2021-03-31,Canarias,54.220,"60,1",15.913,"10,3",33.435,"14,2",26.623,"7,6",,,,,,,,,199.517,1.871.033,"10,7",63.706,"7,7",5.593,"3,4",27,"0,1"
2021-03-31,Cantabria,30.858,"75,2",1.827,"3,4",4.962,"6,4",9.927,11,,,,,,,,,70.024,501.384,14,21.036,"10,8",1.409,4,5,0
2021-03-31,Castilla y León,158.345,"70,8",12.861,"5,2",26.304,"8,3",49.803,"13,1",,,,,,,,,336.070,2.092.873,"16,1",81.619,11,7.049,"4,9",89,"0,2"
2021-03-31,Castilla La Mancha,99.503,"73,6",6.609,"4,2",17.253,"7,9",36.035,"11,7",,,,,,,,,233.231,1.719.964,"13,6",68.206,"9,6",5.534,"3,7",91,"0,2"
2021-03-31,Cataluña,240.692,"53,8",36.372,"5,7",142.711,17,120.739,"11,1",,,,,,,,,853.901,6.531.658,"13,1",279.821,10,33.296,6,270,"0,2"
2021-03-31,C. Valenciana,212.048,"76,7",11.809,"2,7",33.846,"5,8",75.799,"10,1",,,,,,,,,516.703,4.269.305,"12,1",168.852,"9,6",14.243,4,106,"0,1"
